open_time,volume,taker_buy_base_volume
1783429200000,266.79400000,185.79600000
1783432800000,556.87100000,427.81300000
1783436400000,15.67800000,4.30300000
1783440000000,11.84300000,5.74200000
1783443600000,1.87800000,0.30900000
1783447200000,3.63100000,1.62400000
1783450800000,31.13200000,26.13800000
1783454400000,14.64700000,6.97200000
1783458000000,2.01600000,0.83600000
1783461600000,2.59300000,1.02000000
1783465200000,3.68900000,1.47000000
1783468800000,13.07700000,2.49700000
1783472400000,4.77900000,2.73100000
1783476000000,4.10400000,2.50500000
1783479600000,0.40000000,0.08000000
1783483200000,7.24300000,5.05600000
1783486800000,2.47700000,1.44100000
1783490400000,6.17800000,5.77300000
1783494000000,5.01900000,3.35700000
1783497600000,34.75300000,2.07700000
1783501200000,19.74000000,11.51700000
1783504800000,21.38400000,11.58200000
1783508400000,4.07100000,3.06000000
1783512000000,19.50900000,15.55200000
1783515600000,27.39100000,12.02000000
1783519200000,6.96000000,1.44800000
1783522800000,3.06500000,0.43600000
1783526400000,6.44000000,4.50300000
1783530000000,18.85500000,1.38600000
1783533600000,28.23000000,18.80600000
1783537200000,6.19200000,5.30800000
1783540800000,1.14500000,0.30300000
1783544400000,1.22400000,0.30100000
1783548000000,12.80500000,10.76000000
1783551600000,5.95500000,3.33200000
1783555200000,19.65000000,17.05300000
1783558800000,23.27100000,16.02900000
1783562400000,23.25700000,16.37500000
1783566000000,12.10900000,10.18200000
1783569600000,11.70200000,8.49200000
1783573200000,23.06800000,19.63300000
1783576800000,19.62300000,13.68500000
1783580400000,32.72600000,19.90700000
1783584000000,17.12800000,7.92800000
1783587600000,16.09500000,1.05800000
1783591200000,8.17400000,0.72800000
1783594800000,21.19000000,9.23500000
1783598400000,88.29700000,6.65400000
1783602000000,209.63600000,87.96200000
1783605600000,98.01300000,44.47000000
1783609200000,36.75200000,23.66800000
1783612800000,52.20700000,14.76800000
1783616400000,33.79600000,27.15300000
1783620000000,3.23200000,1.97800000
1783623600000,10.55400000,7.30100000
1783627200000,2.39700000,1.16400000
1783630800000,12.87100000,12.08700000
1783634400000,6.19100000,2.32000000
1783638000000,2.78800000,1.49400000
1783641600000,22.76300000,7.75000000
1783645200000,18.44000000,14.46100000
1783648800000,46.43000000,24.73500000
1783652400000,118.73800000,48.32200000
1783656000000,39.35200000,35.71400000
1783659600000,7.55800000,7.50900000
1783663200000,6.29800000,2.83300000
1783666800000,16.26800000,16.11600000
1783670400000,1.55300000,1.15900000
1783674000000,15.69000000,7.89800000
1783677600000,19.06900000,14.01900000
1783681200000,7.80900000,4.45200000
1783684800000,20.92200000,6.88000000
1783688400000,44.65600000,12.54100000
1783692000000,30.20700000,16.08200000
1783695600000,9.94600000,5.85200000
1783699200000,9.48800000,7.27600000
1783702800000,20.58100000,18.05600000
1783706400000,34.64500000,3.86800000
1783710000000,23.74500000,19.77700000
1783713600000,5.16500000,2.09300000
1783717200000,5.49100000,2.38200000
1783720800000,3.99100000,2.27000000
1783724400000,10.14700000,9.31200000
1783728000000,3.91900000,1.75800000
1783731600000,0.67000000,0.35900000
1783735200000,1.67300000,1.00600000
1783738800000,0.55900000,0.55900000
1783742400000,25.74700000,20.65600000
1783746000000,15.34900000,5.44100000
1783749600000,8.11700000,3.35100000
1783753200000,6.63300000,1.32900000
1783756800000,6.76500000,1.52800000
1783760400000,20.49900000,6.18800000
1783764000000,10.76600000,7.34500000
1783767600000,2.11900000,1.79400000
1783771200000,10.56600000,5.75200000
1783774800000,21.66300000,4.91300000
1783778400000,7.03200000,6.36400000
1783782000000,2.68900000,1.68900000
1783785600000,15.86200000,15.84600000
1783789200000,3.10900000,2.59300000
1783792800000,4.36100000,2.31600000
1783796400000,10.01900000,1.12200000
1783800000000,0.44500000,0.02800000
1783803600000,11.88200000,8.23500000
1783807200000,12.42400000,10.38100000
1783810800000,4.68900000,0.54500000
1783814400000,2.27300000,1.87800000
1783818000000,1.13100000,1.03000000
1783821600000,4.19100000,0.36800000
1783825200000,1.20300000,1.18800000
1783828800000,1.03800000,0.33800000
1783832400000,5.39500000,1.93100000
1783836000000,0.43900000,0.35900000
1783839600000,2.44100000,1.50800000
1783843200000,6.77200000,5.58800000
1783846800000,9.34100000,6.27800000
1783850400000,2.95400000,0.67700000
1783854000000,0.52800000,0.32300000
1783857600000,2.87100000,1.55400000
1783861200000,49.83800000,1.58700000
1783864800000,15.85600000,11.56700000
1783868400000,5.27100000,2.29900000
1783872000000,1.55100000,0.91200000
1783875600000,0.89300000,0.51600000
1783879200000,1.40800000,1.19000000
1783882800000,0.84600000,0.55100000
1783886400000,1.97100000,1.00200000
1783890000000,11.78800000,0.30900000
1783893600000,2.10700000,0.46300000
1783897200000,1.61900000,1.03500000
1783900800000,9.18600000,2.52800000
1783904400000,4.18200000,2.24000000
1783908000000,7.88300000,2.64600000
1783911600000,11.69100000,7.33600000
1783915200000,10.11400000,6.66000000
1783918800000,4.13600000,1.54100000
1783922400000,9.48900000,5.98900000
1783926000000,8.98500000,6.49300000
1783929600000,8.46100000,3.64900000
1783933200000,21.36300000,8.20400000
1783936800000,7.63100000,2.74100000
1783940400000,6.37600000,3.15900000
1783944000000,6.86300000,4.79400000
1783947600000,50.20400000,34.17300000
1783951200000,11.91100000,5.48700000
1783954800000,9.08700000,4.69800000
1783958400000,13.83000000,8.31800000
1783962000000,7.13700000,4.13100000
1783965600000,8.77900000,4.61600000
1783969200000,4.15600000,1.43800000
1783972800000,4.36500000,1.72200000
1783976400000,1.02600000,0.71400000
1783980000000,4.32400000,2.58200000
1783983600000,0.63100000,0.10200000
1783987200000,3.40500000,1.99600000
1783990800000,0.75600000,0.24600000
1783994400000,1.18000000,0.29400000
1783998000000,9.53800000,5.24500000
1784001600000,3.30000000,2.81100000
1784005200000,329.01400000,306.47600000
1784008800000,1.97200000,0.65000000
1784012400000,23.81800000,6.16200000
1784016000000,5.68900000,1.84900000
1784019600000,0.29800000,0.00000000
1784023200000,1.86700000,1.28600000
1784026800000,8.77800000,4.22500000
1784030400000,27.29400000,14.68600000
1784034000000,247.50400000,234.54300000
1784037600000,26.60600000,19.30100000
1784041200000,490.82800000,235.04700000
1784044800000,8.12900000,3.49400000
1784048400000,65.34000000,63.94700000
1784052000000,164.56500000,59.62900000
1784055600000,6.55000000,4.93000000
1784059200000,3.35800000,0.56100000
1784062800000,2.15700000,0.85000000
